ticker,date,senti_pos,senti_neu,senti_neg,senti_score,senti_count,pct_ai_news,pct_chip_news,pct_reg_news,news_volatility,senti_count_z
AAPL,2023-01-01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2023-01-02,0.0006539213936775923,0.49171334505081177,0.5076326727867126,-0.5069788,2.0,0.0,0.0,0.0,0.697237,-0.9929210728898247
AAPL,2023-01-03,0.10847917944192886,0.41980066895484924,0.4717201292514801,-0.36324096,12.0,0.08333333333333333,0.16666666666666666,0.0,0.62156683,-0.4062224207020377
AAPL,2023-01-04,0.1666264533996582,0.2007198929786682,0.6326536536216736,-0.46602723,39.0,0.07692307692307693,0.02564102564102564,0.0,0.6697792,1.1778639402049873
AAPL,2023-01-05,0.09482647478580475,0.21474555134773254,0.6904280185699463,-0.5956015,26.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.63710713,0.4151556923608642
AAPL,2023-01-06,0.21092724800109863,0.10493503510951996,0.6841377019882202,-0.47321042,20.0,0.1,0.05,0.0,0.80293244,0.06313650104819198
AAPL,2023-01-07,0.19597487151622772,0.2910607159137726,0.5129644274711609,-0.3169895,19.0,0.21052631578947367,0.05263157894736842,0.0,0.7254385,0.004466635829413274
AAPL,2023-01-08,0.0002991759974975139,0.14515234529972076,0.854548454284668,-0.8542493,7.0,0.0,0.0,0.0,0.37673742,-0.6995717467959311
AAPL,2023-01-09,0.0018283383687958121,0.472675621509552,0.5254960060119629,-0.5236677,4.0,0.0,0.0,0.0,0.5487896,-0.8755813424522673
AAPL,2023-01-10,0.1978057473897934,0.21343249082565308,0.5887617468833923,-0.390956,24.0,0.08333333333333333,0.08333333333333333,0.0,0.7716047,0.2978159619233068
AAPL,2023-01-11,0.12795108556747437,0.29562753438949585,0.5764213800430298,-0.4484703,26.0,0.038461538461538464,0.11538461538461539,0.0,0.66173667,0.4151556923608642
AAPL,2023-01-12,0.13784240186214447,0.1264060139656067,0.7357515692710876,-0.59790915,25.0,0.08,0.04,0.04,0.6700327,0.3564858271420855
AAPL,2023-01-13,0.09641317278146744,0.327036052942276,0.5765507817268372,-0.4801376,21.0,0.047619047619047616,0.09523809523809523,0.0,0.6601994,0.12180636626697068
AAPL,2023-01-14,0.11467085778713226,0.03911488503217697,0.846214234828949,-0.7315434,15.0,0.13333333333333333,0.06666666666666667,0.0,0.5304496,-0.23021282504570154
AAPL,2023-01-15,0.3335074186325073,0.1668093204498291,0.49968329071998596,-0.16617589,6.0,0.0,0.0,0.0,0.9772374,-0.7582416120147099
AAPL,2023-01-16,6.7545312049333e-05,0.4987342655658722,0.5011982321739197,-0.50113064,2.0,0.0,0.0,0.0,0.7054001,-0.9929210728898247
AAPL,2023-01-17,0.1864488422870636,0.3732386827468872,0.4403124749660492,-0.25386363,15.0,0.06666666666666667,0.0,0.06666666666666667,0.7232413,-0.23021282504570154
